<Type>,<Ticker>,<Name>,<Industry>,<Currency>,<Market price>,<Dividend>,<Risk weight>
Stock,CHTR US,Charter Communications Inc. Class A,Communications,USD,794.09,0,0.92
Stock,SCHW US,Charles Schwab Corporation,Financials,USD,71.97,1,0.96
Stock,SPGI US,S&P Global Inc.,Technology,USD,437.52,0.7,1.01
Stock,AXP US,American Express Company,Financials,USD,159.75,1.08,1.44
Stock,PLD US,Prologis Inc.,Real Estate,USD,134.25,1.88,1.19
Stock,ZTS US,Zoetis Inc. Class A,Health Care,USD,207.05,0.48,0.93
Stock,ANTM US,Anthem Inc.,Health Care,USD,377.99,1.2,1.26
Stock,ADP US,Automatic Data Processing Inc.,Technology,USD,211.58,1.76,1.06
Stock,GILD US,Gilead Sciences Inc.,Health Care,USD,72.44,3.92,0.46
Stock,MDLZ US,Mondelez International Inc. Class A,Consumer Staples,USD,63.49,2.21,0.82
Stock,MO US,Altria Group Inc,Consumer Staples,USD,48.47,7.1,0.89
Stock,TJX US,TJX Companies Inc,Consumer Discretionary,USD,74.04,1.4,1.33
Stock,LMT US,Lockheed Martin Corporation,Industrials,USD,357.17,2.91,0.96
Stock,SYK US,Stryker Corporation,Health Care,USD,265.28,0.95,1.2
Stock,CCI US,Crown Castle International Corp,Real Estate,USD,198.05,2.69,0.88
Stock,BKNG US,Booking Holdings Inc.,Communications,USD,2074.74,0,1.21
Stock,CB US,Chubb Limited,Financials,USD,186.21,1.72,1.13
Stock,TMUS US,T-Mobile US Inc.,Communications,USD,141.81,0,0.83
Stock,LRCX US,Lam Research Corporation,Technology,USD,565.97,0.92,1.5
Stock,DUK US,Duke Energy Corporation,Utilities,USD,107.21,3.68,0.98
Stock,FIS US,Fidelity National Information Services Inc.,Technology,USD,129.98,1.2,1.05
Stock,MU US,Micron Technology Inc.,Technology,USD,70.23,0.57,1.18
Stock,MMC US,Marsh & McLennan Companies Inc.,Financials,USD,155.13,1.38,1.03
Stock,PNC US,PNC Financial Services Group Inc.,Financials,USD,185.82,2.69,1.21
Stock,CSX US,CSX Corporation,Industrials,USD,33.73,1.11,1.02
Stock,EL US,Estee Lauder Companies Inc. Class A,Consumer Staples,USD,330.18,0.64,1.01
Stock,COF US,Capital One Financial Corporation,Financials,USD,168.22,1.43,1.65
Stock,USB US,U.S. Bancorp,Financials,USD,55.68,3.02,1.15
Stock,EQIX US,Equinix Inc.,Real Estate,USD,835.63,1.37,0.9
Stock,TFC US,Truist Financial Corporation,Financials,USD,55.58,3.45,1.31
Stock,EW US,Edwards Lifesciences Corporation,Health Care,USD,118.95,0,1.06
Stock,ADSK US,Autodesk Inc.,Technology,USD,334.38,0,0.94
Stock,SHW US,Sherwin-Williams Company,Materials,USD,307.06,0.72,0.99
Stock,BDX US,Becton Dickinson and Company,Health Care,USD,249.3,1.33,0.57
Stock,CME US,CME Group Inc. Class A,Financials,USD,198.36,1.81,0.86
Stock,COP US,ConocoPhillips,Energy,USD,52.77,3.26,1.18
Stock,CI US,Cigna Corporation,Health Care,USD,207.53,1.93,1.17
Stock,SO US,Southern Company,Utilities,USD,67.32,3.92,1.11
Stock,FISV US,Fiserv Inc.,Technology,USD,116.09,0,1.06
Stock,REGN US,Regeneron Pharmaceuticals Inc.,Health Care,USD,663.27,0,0.6
Stock,ILMN US,Illumina Inc.,Health Care,USD,486.71,0,0.81
Stock,CL US,Colgate-Palmolive Company,Consumer Staples,USD,78.8,2.28,0.69
Stock,ETN US,Eaton Corp. Plc,Industrials,USD,167.46,1.82,1.2
Stock,ITW US,Illinois Tool Works Inc.,Industrials,USD,230.57,2.12,1.06
Stock,NSC US,Norfolk Southern Corporation,Industrials,USD,262.27,1.66,1.07
Stock,FDX US,FedEx Corporation,Industrials,USD,266.55,1.13,1
Stock,ICE US,Intercontinental Exchange Inc.,Financials,USD,117.15,1.13,0.84
Stock,HCA US,HCA Healthcare Inc,Health Care,USD,249.34,0.77,1.46
Stock,ATVI US,Activision Blizzard Inc.,Communications,USD,82.63,0.57,0.77
Stock,D US,Dominion Energy Inc,Utilities,USD,80.05,3.15,0.88
Stock,BSX US,Boston Scientific Corporation,Health Care,USD,44.44,0,1.16
Stock,GM US,General Motors Company,Consumer Discretionary,USD,48.8,0,1.48
Stock,AON US,Aon Plc Class A,Financials,USD,279.37,0.73,1.11
Stock,ADI US,Analog Devices Inc.,Technology,USD,166.64,1.66,1.02
Stock,EMR US,Emerson Electric Co.,Industrials,USD,101.7,1.99,1.06
Stock,MCO US,Moody's Corporation,Technology,USD,376.42,0.66,1.12
Stock,APD US,Air Products and Chemicals Inc.,Materials,USD,267.44,2.24,0.9
Stock,WM US,Waste Management Inc.,Industrials,USD,152.94,1.5,0.82
Stock,IDXX US,IDEXX Laboratories Inc.,Health Care,USD,682.14,0,1.06
Stock,PGR US,Progressive Corporation,Financials,USD,97.57,0.41,0.78
Stock,NXPI US,NXP Semiconductors NV,Technology,USD,205,1.1,1.33
Stock,DG US,Dollar General Corporation,Consumer Staples,USD,234.78,0.72,0.68
Stock,ECL US,Ecolab Inc.,Materials,USD,222.06,0.86,1.17
Stock,NOC US,Northrop Grumman Corporation,Industrials,USD,363,1.73,0.79
Stock,HUM US,Humana Inc.,Health Care,USD,413.61,0.68,1.27
Stock,CMG US,Chipotle Mexican Grill Inc.,Consumer Discretionary,USD,1891.54,0,1.12
Stock,JCI US,Johnson Controls International plc,Industrials,USD,73.4,1.47,1.15
Stock,A US,Agilent Technologies Inc.,Health Care,USD,168.13,0.46,0.86
Stock,BIIB US,Biogen Inc.,Health Care,USD,341.74,0,0.84
Stock,VRTX US,Vertex Pharmaceuticals Incorporated,Health Care,USD,195.85,0,0.65
Stock,MSCI US,MSCI Inc. Class A,Technology,USD,618.86,0.67,0.92
Stock,ROP US,Roper Technologies Inc.,Technology,USD,479.94,0.47,0.87
Stock,KLAC US,KLA Corporation,Technology,USD,319.97,1.31,1.28
Stock,TWTR US,Twitter Inc.,Communications,USD,62.52,0,1.2
Stock,F US,Ford Motor Company,Consumer Discretionary,USD,12.57,0,1.38
Stock,IQV US,IQVIA Holdings Inc,Health Care,USD,254.7,0,1.25
Stock,PSA US,Public Storage,Real Estate,USD,324.28,2.47,0.85
Stock,ALGN US,Align Technology Inc.,Health Care,USD,681.57,0,1.46
Stock,TEL US,TE Connectivity Ltd.,Industrials,USD,148.06,1.35,1.26
Stock,DXCM US,DexCom Inc.,Health Care,USD,518.99,0,1.05
Stock,TROW US,T. Rowe Price Group,Financials,USD,215.47,2,1.05
Stock,SNPS US,Synopsys Inc.,Technology,USD,316.88,0,1.02
Stock,GPN US,Global Payments Inc.,Technology,USD,163.06,0.61,1.33
Stock,EXC US,Exelon Corporation,Utilities,USD,49.36,3.1,1.17
Stock,LHX US,L3Harris Technologies Inc,Industrials,USD,231.14,1.77,1
Stock,FCX US,Freeport-McMoRan Inc.,Materials,USD,32.8,0.91,1.59
Stock,EBAY US,eBay Inc.,Consumer Discretionary,USD,73.36,0.98,1.08
Stock,KMB US,Kimberly-Clark Corporation,Consumer Staples,USD,138.23,3.3,0.71
Stock,TT US,Trane Technologies plc,Industrials,USD,193.41,1.22,1.17
Stock,AIG US,American International Group Inc.,Financials,USD,53.57,2.39,1.63
Stock,DLR US,Digital Realty Trust Inc.,Real Estate,USD,162.77,2.85,0.74
Stock,NEM US,Newmont Corporation,Materials,USD,56.35,3.9,0.77
Stock,CARR US,Carrier Global Corp.,Industrials,USD,55.37,0.87,0.75
Stock,DOW US,Dow Inc.,Materials,USD,60.89,4.6,1.13
Stock,ROST US,Ross Stores Inc.,Consumer Discretionary,USD,123.12,0.93,1.45
Stock,AEP US,American Electric Power Company Inc.,Utilities,USD,91.08,3.25,1
Stock,MET US,MetLife Inc.,Financials,USD,60.51,3.17,1.46
Stock,GD US,General Dynamics Corporation,Industrials,USD,197.3,2.41,1.16
Stock,APH US,Amphenol Corporation Class A,Industrials,USD,74.47,0.78,1.1
Stock,INFO US,IHS Markit Ltd.,Technology,USD,118.1,0.68,1.03
Stock,CDNS US,Cadence Design Systems Inc.,Technology,USD,156.67,0,0.97
Stock,BK US,Bank of New York Mellon Corporation,Financials,USD,53.32,2.55,1.07
Stock,ORLY US,O'Reilly Automotive Inc.,Consumer Discretionary,USD,606.41,0,1.03
Stock,SPG US,Simon Property Group Inc.,Real Estate,USD,128.77,4.66,1.86
Stock,SRE US,Sempra Energy,Utilities,USD,133.36,3.3,1.1
Stock,APTV US,Aptiv PLC,Consumer Discretionary,USD,154.65,0,1.59
Stock,PRU US,Prudential Financial Inc.,Financials,USD,104.34,4.41,1.44
Stock,RMD US,ResMed Inc.,Health Care,USD,285.69,0.59,0.95
Stock,EA US,Electronic Arts Inc.,Communications,USD,140.17,0.49,0.72
Stock,TRV US,Travelers Companies Inc.,Financials,USD,160.84,2.19,1.13
Stock,CTSH US,Cognizant Technology Solutions Corporation Class A,Technology,USD,76.7,1.25,1.07
Stock,YUM US,Yum! Brands Inc.,Consumer Discretionary,USD,134.46,1.49,1.25
Stock,ALL US,Allstate Corporation,Financials,USD,134.56,2.41,1.12
Stock,MSI US,Motorola Solutions Inc.,Technology,USD,240,1.18,0.96
Stock,FTNT US,Fortinet Inc.,Technology,USD,297.94,0,0.92
Stock,MCHP US,Microchip Technology Incorporated,Technology,USD,144.84,1.21,1.38
Stock,SBAC US,SBA Communications Corp. Class A,Real Estate,USD,362.16,0.64,0.9
Stock,DD US,DuPont de Nemours Inc.,Materials,USD,72.85,1.65,1.14
Stock,DFS US,Discover Financial Services,Financials,USD,127.26,1.57,2.03
Stock,SYY US,Sysco Corporation,Consumer Staples,USD,76.79,2.45,1.66
Stock,PPG US,PPG Industries Inc.,Materials,USD,161.12,1.46,1.08
Stock,BAX US,Baxter International Inc.,Health Care,USD,75.19,1.49,0.69
Stock,XEL US,Xcel Energy Inc.,Utilities,USD,70.61,2.59,0.99
Stock,EOG US,EOG Resources Inc.,Energy,USD,64.47,2.56,1.14
Stock,CNC US,Centene Corporation,Health Care,USD,64.31,0,1.14
Stock,IFF US,International Flavors & Fragrances Inc.,Materials,USD,149.76,2.11,1.06
Stock,PH US,Parker-Hannifin Corporation,Industrials,USD,287.85,1.43,1.4
Stock,PAYX US,Paychex Inc.,Technology,USD,115.42,2.29,1.14
Stock,SLB US,Schlumberger NV,Energy,USD,26.46,1.89,1.25
Stock,GIS US,General Mills Inc.,Consumer Staples,USD,60.3,3.38,0.47
Stock,OTIS US,Otis Worldwide Corporation,Industrials,USD,90.02,1.07,0.63
Stock,ROK US,Rockwell Automation Inc.,Industrials,USD,315.05,1.36,1.13
Stock,STZ US,Constellation Brands Inc. Class A,Consumer Staples,USD,213.83,1.42,1.34
Stock,MTD US,Mettler-Toledo International Inc.,Health Care,USD,1530.51,0,0.9
Stock,MNST US,Monster Beverage Corporation,Consumer Staples,USD,96.74,0,0.97
Stock,AFL US,Aflac Incorporated,Financials,USD,56.36,2.34,1.35
Stock,AZO US,AutoZone Inc.,Consumer Discretionary,USD,1640.76,0,1.08
Stock,WELL US,Welltower Inc.,Real Estate,USD,84.22,2.9,1.55
Stock,XLNX US,Xilinx Inc.,Technology,USD,144.27,0,0.86
Stock,NUE US,Nucor Corporation,Materials,USD,116.42,1.39,1.04
Stock,KR US,Kroger Co.,Consumer Staples,USD,46.94,1.79,0.34
Stock,MAR US,Marriott International Inc. Class A,Consumer Discretionary,USD,131.15,0,1.49
Stock,MPC US,Marathon Petroleum Corporation,Energy,USD,54.77,4.24,1.63
Stock,CTAS US,Cintas Corporation,Industrials,USD,391.81,0.97,1.2
Stock,CMI US,Cummins Inc.,Industrials,USD,231.67,2.5,0.97
Stock,WBA US,Walgreens Boots Alliance Inc,Consumer Staples,USD,48.3,3.95,0.79
Stock,FRC US,First Republic Bank,Financials,USD,194.6,0.45,1.07
Stock,HPQ US,HP Inc.,Technology,USD,28.22,2.75,1.22
Stock,ADM US,Archer-Daniels-Midland Company,Consumer Staples,USD,58.94,2.51,0.97
Stock,HLT US,Hilton Worldwide Holdings Inc,Consumer Discretionary,USD,121.77,0,1.3
Stock,WST US,West Pharmaceutical Services Inc.,Health Care,USD,449.51,0.15,0.74
Stock,AWK US,American Water Works Company Inc.,Utilities,USD,184.1,1.31,1.05
Stock,PXD US,Pioneer Natural Resources Company,Energy,USD,141.32,1.59,1.13
Stock,PEG US,Public Service Enterprise Group Inc,Utilities,USD,64.95,3.14,1.09
Stock,TDG US,TransDigm Group Incorporated,Industrials,USD,595.4,0,1.46
Stock,SIVB US,SVB Financial Group,Financials,USD,550.95,0,1.24
Stock,VRSK US,Verisk Analytics Inc,Technology,USD,196.39,0.59,0.9
Stock,MCK US,McKesson Corporation,Health Care,USD,200.41,0.94,0.93
Stock,CTVA US,Corteva Inc,Materials,USD,41.94,1.34,0.99
Stock,FAST US,Fastenal Company,Industrials,USD,55.47,2.02,0.94
Stock,EFX US,Equifax Inc.,Technology,USD,258.51,0.6,1.15
Stock,GLW US,Corning Inc,Technology,USD,40.17,2.39,1.19
Stock,ES US,Eversource Energy,Utilities,USD,92.11,2.62,1.06
Stock,AVB US,AvalonBay Communities Inc.,Real Estate,USD,224.63,2.83,1.34
Stock,KEYS US,Keysight Technologies Inc,Industrials,USD,168.79,0,0.77
Stock,AME US,AMETEK Inc.,Industrials,USD,134.77,0.59,1.11
Stock,KMI US,Kinder Morgan Inc Class P,Energy,USD,15.94,6.78,1.1
Stock,ANSS US,ANSYS Inc.,Technology,USD,362.22,0,0.96
Stock,DHI US,D.R. Horton Inc.,Consumer Discretionary,USD,94.9,0.84,1.32
Stock,CBRE US,CBRE Group Inc. Class A,Real Estate,USD,92.66,0,1.37
Stock,WEC US,WEC Energy Group Inc,Utilities,USD,97.59,2.78,0.98
Stock,SWK US,Stanley Black & Decker Inc.,Industrials,USD,190.39,1.66,1.37
Stock,AMP US,Ameriprise Financial Inc.,Financials,USD,261.6,1.73,1.38
Stock,BLL US,Ball Corporation,Materials,USD,94.63,0.85,1.03
Stock,ZBRA US,Zebra Technologies Corporation Class A,Technology,USD,571.49,0,0.98
Stock,STT US,State Street Corporation,Financials,USD,86.09,2.65,1.15
Stock,ZBH US,Zimmer Biomet Holdings Inc.,Health Care,USD,145.46,0.66,1.19
Stock,LH US,Laboratory Corporation of America Holdings,Health Care,USD,306.26,0,1.23
Stock,SWKS US,Skyworks Solutions Inc.,Technology,USD,178.88,1.25,1.14
Stock,AJG US,Arthur J. Gallagher & Co.,Financials,USD,143,1.34,1.02
Stock,WMB US,Williams Companies Inc.,Energy,USD,24.04,6.82,1.21
Stock,PSX US,Phillips 66,Energy,USD,65.95,5.46,1.17
Stock,CPRT US,Copart Inc.,Consumer Discretionary,USD,139.98,0,1.18
Stock,LEN US,Lennar Corporation Class A,Consumer Discretionary,USD,105.32,0.95,1.46
Stock,EQR US,Equity Residential,Real Estate,USD,82.51,2.92,1.26
Stock,ARE US,Alexandria Real Estate Equities Inc.,Real Estate,USD,207.06,2.16,1.02
Stock,LUV US,Southwest Airlines Co.,Industrials,USD,47.36,0,1.3
Stock,PCAR US,PACCAR Inc,Industrials,USD,80.27,1.69,1
Stock,WLTW US,Willis Towers Watson Public Limited Company,Financials,USD,218.75,1.46,1.08
Stock,CDW US,CDW Corp.,Technology,USD,195.77,0.82,1.33
Stock,MXIM US,Maxim Integrated Products Inc.,Technology,USD,101.65,0,0.95
Stock,ODFL US,Old Dominion Freight Line Inc.,Industrials,USD,282.51,0.28,0.98
Stock,O US,Realty Income Corporation,Real Estate,USD,71.91,3.93,1.34
Stock,SYF US,Synchrony Financial,Financials,USD,49.2,1.79,1.74
Stock,FITB US,Fifth Third Bancorp,Financials,USD,37.62,2.87,1.61
Stock,KSU US,Kansas City Southern,Industrials,USD,290.26,0.74,1.08
Stock,HSY US,Hershey Company,Consumer Staples,USD,180.03,2,0.85
Stock,ED US,Consolidated Edison Inc.,Utilities,USD,76.95,4.03,0.79
Stock,IT US,Gartner Inc.,Technology,USD,302.4,0,1.37
Stock,RSG US,Republic Services Inc.,Industrials,USD,122.1,1.51,0.94
Stock,WY US,Weyerhaeuser Company,Real Estate,USD,34.16,1.99,1.62
Stock,WAT US,Waters Corporation,Health Care,USD,402.25,0,0.85
Stock,LYB US,LyondellBasell Industries NV,Materials,USD,98.21,4.6,1.4
Stock,GRMN US,Garmin Ltd.,Technology,USD,170.43,1.57,1.01
Stock,ALB US,Albemarle Corporation,Materials,USD,219.68,0.71,1.31
Stock,FTV US,Fortive Corp.,Industrials,USD,73.43,0.38,1.1
Stock,DOV US,Dover Corporation,Industrials,USD,172.7,1.16,1.28
Stock,GNRC US,Generac Holdings Inc.,Industrials,USD,400.32,0,1.1
Stock,VLO US,Valero Energy Corporation,Energy,USD,60.2,6.51,1.45
Stock,BBY US,Best Buy Co. Inc.,Consumer Discretionary,USD,112.63,2.49,1.25
Stock,ETSY US,Etsy Inc.,Consumer Discretionary,USD,199.27,0,1.47
Stock,VFC US,V.F. Corporation,Consumer Discretionary,USD,76.43,2.56,1.25
Stock,CERN US,Cerner Corporation,Technology,USD,78.96,1.11,0.89
Stock,VMC US,Vulcan Materials Company,Materials,USD,183.39,0.81,1.12
Stock,DAL US,Delta Air Lines Inc.,Industrials,USD,38.12,0,1.76
Stock,VIAC US,ViacomCBS Inc. Class B,Communications,USD,39.71,2.42,1.35
Stock,URI US,United Rentals Inc.,Industrials,USD,330.13,0,1.49
Stock,KHC US,Kraft Heinz Company,Consumer Staples,USD,36.6,4.37,0.82
Stock,DLTR US,Dollar Tree Inc.,Consumer Staples,USD,102.67,0,0.76
Stock,NTRS US,Northern Trust Corporation,Financials,USD,114.6,2.44,1.08
Stock,TSN US,Tyson Foods Inc. Class A,Consumer Staples,USD,79.94,2.23,0.85
Stock,EXR US,Extra Space Storage Inc.,Real Estate,USD,177.56,2.25,0.95
Stock,HIG US,Hartford Financial Services Group Inc.,Financials,USD,66.24,2.11,1.35
Stock,XYL US,Xylem Inc.,Industrials,USD,131.57,0.85,1.07
Stock,DTE US,DTE Energy Company,Utilities,USD,121.48,2.72,1.14
Stock,MLM US,Martin Marietta Materials Inc.,Materials,USD,375,0.65,1.24
Stock,AEE US,Ameren Corporation,Utilities,USD,89.59,2.46,0.95
Stock,IP US,International Paper Company,Materials,USD,58.76,3.49,0.97
Stock,TSCO US,Tractor Supply Company,Consumer Discretionary,USD,198.11,1.05,0.86
Stock,PPL US,PPL Corporation,Utilities,USD,29.74,5.58,1.32
Stock,PAYC US,Paycom Software Inc.,Technology,USD,469.42,0,1.26
Stock,ETR US,Entergy Corporation,Utilities,USD,114.6,3.32,1.19
Stock,TRMB US,Trimble Inc.,Industrials,USD,90.59,0,1.28
Stock,ENPH US,Enphase Energy Inc.,Energy,USD,165.99,0,1.67
Stock,EIX US,Edison International,Utilities,USD,59.53,4.45,1.1
Stock,OKE US,ONEOK Inc.,Energy,USD,50.43,7.42,1.62
Stock,MKC US,McCormick & Company Incorporated,Consumer Staples,USD,87.56,1.55,0.7
Stock,COO US,Cooper Companies Inc.,Health Care,USD,444.18,0.01,0.93
Stock,NDAQ US,Nasdaq Inc.,Financials,USD,188.67,1.14,0.99
Stock,HBAN US,Huntington Bancshares Incorporated,Financials,USD,14.76,4.07,1.29
Stock,MAA US,Mid-America Apartment Communities Inc.,Real Estate,USD,190.28,2.16,1.28
Stock,CLX US,Clorox Company,Consumer Staples,USD,170.06,2.73,0.36
Stock,FLT US,FLEETCOR Technologies Inc.,Technology,USD,257.83,0,1.18
Stock,CHD US,Church & Dwight Co. Inc.,Consumer Staples,USD,86.02,1.17,0.49
Stock,FE US,FirstEnergy Corp.,Utilities,USD,39.09,3.99,1.03
Stock,VRSN US,VeriSign Inc.,Communications,USD,213.04,0,0.77
Stock,STE US,STERIS Plc,Health Care,USD,214.9,0.8,0.91
Stock,CRL US,Charles River Laboratories International Inc.,Health Care,USD,424.75,0,1.17
Stock,ESS US,Essex Property Trust Inc.,Real Estate,USD,319.49,2.62,1.32
