<Type>,<Ticker>,<Name>,<Industry>,<Currency>,<Market price>,<Dividend>,<Risk weight>
Stock,AMCR US,Amcor PLC,Materials,USD,12.79,3.67,0.91
Stock,KEY US,KeyCorp,Financials,USD,19.91,3.72,1.52
Stock,TYL US,Tyler Technologies Inc.,Technology,USD,472.68,0,0.76
Stock,TER US,Teradyne Inc.,Technology,USD,113.56,0.35,1.36
Stock,PEAK US,Healthpeak Properties Inc.,Real Estate,USD,35.16,3.41,1.42
Stock,DRE US,Duke Realty Corporation,Real Estate,USD,50.82,2.01,1.1
Stock,GWW US,W.W. Grainger Inc.,Industrials,USD,430.99,1.5,1.1
Stock,RF US,Regions Financial Corporation,Financials,USD,20.03,3.39,1.44
Stock,TTWO US,Take-Two Interactive Software Inc.,Communications,USD,160.96,0,0.74
Stock,HPE US,Hewlett Packard Enterprise Co.,Technology,USD,14.58,3.29,1.12
Stock,IR US,Ingersoll Rand Inc.,Industrials,USD,50.08,0,1.17
Stock,OXY US,Occidental Petroleum Corporation,Energy,USD,21.95,0.18,1.69
Stock,CMS US,CMS Energy Corporation,Utilities,USD,64.81,2.68,0.98
Stock,AKAM US,Akamai Technologies Inc.,Technology,USD,114.49,0,0.72
Stock,CINF US,Cincinnati Financial Corporation,Financials,USD,123.31,2.04,1.1
Stock,WDC US,Western Digital Corporation,Technology,USD,60.04,0,1.48
Stock,MKTX US,MarketAxess Holdings Inc.,Technology,USD,475.5,0.56,0.67
Stock,AVY US,Avery Dennison Corporation,Materials,USD,218.28,1.25,1.15
Stock,DRI US,Darden Restaurants Inc.,Consumer Discretionary,USD,139.31,3.16,1.85
Stock,CFG US,Citizens Financial Group Inc.,Financials,USD,42.34,3.68,1.45
Stock,VTRS US,Viatris Inc.,Health Care,USD,14.69,3,0.88
Stock,STX US,Seagate Technology Holdings PLC,Technology,USD,89.44,3,1.02
Stock,GPC US,Genuine Parts Company,Consumer Discretionary,USD,123.82,2.63,1.26
Stock,NTAP US,NetApp Inc.,Technology,USD,80.67,2.48,1.06
Stock,ABC US,AmerisourceBergen Corporation,Health Care,USD,119.54,1.47,0.8
Stock,TFX US,Teleflex Incorporated,Health Care,USD,377.07,0.36,1.12
Stock,NVR US,NVR Inc.,Consumer Discretionary,USD,5160.73,0,1.32
Stock,CE US,Celanese Corporation,Materials,USD,153.81,1.77,1.23
Stock,HES US,Hess Corporation,Energy,USD,64.32,1.55,1.22
Stock,BBWI US,Bath & Body Works Inc.,Consumer Discretionary,USD,66.26,0.91,1.77
Stock,MTB US,M&T Bank Corporation,Financials,USD,135.7,3.24,1.14
Stock,CCL US,Carnival Corporation,Consumer Discretionary,USD,21.96,0,1.92
Stock,CZR US,Caesars Entertainment Inc,Consumer Discretionary,USD,85.64,0,2.93
Stock,J US,Jacobs Engineering Group Inc.,Industrials,USD,132.75,0.63,1.08
Stock,K US,Kellogg Company,Consumer Staples,USD,66.16,3.51,0.64
Stock,RCL US,Royal Caribbean Group,Consumer Discretionary,USD,78.21,0,2.27
Stock,IEX US,IDEX Corporation,Industrials,USD,221.29,0.98,1
Stock,BIO US,Bio-Rad Laboratories Inc. Class A,Health Care,USD,780.03,0,0.7
Stock,CAG US,Conagra Brands Inc.,Consumer Staples,USD,33.73,3.7,0.63
Stock,PFG US,Principal Financial Group Inc.,Financials,USD,65.03,3.87,1.56
Stock,RJF US,Raymond James Financial Inc.,Financials,USD,135.83,1.15,1.08
Stock,HAL US,Halliburton Company,Energy,USD,18.21,0.99,1.59
Stock,BXP US,Boston Properties Inc.,Real Estate,USD,113.12,3.47,1.26
Stock,TXT US,Textron Inc.,Industrials,USD,70.96,0.11,1.43
Stock,AES US,AES Corporation,Utilities,USD,24.32,2.48,1.22
Stock,UDR US,UDR Inc.,Real Estate,USD,53.09,2.73,1.33
Stock,EVRG US,Evergy Inc.,Utilities,USD,69.26,3.09,1.07
Stock,MGM US,MGM Resorts International,Consumer Discretionary,USD,38.4,0.03,2.02
Stock,MAS US,Masco Corporation,Consumer Discretionary,USD,60.73,1.55,1.16
Stock,LNT US,Alliant Energy Corp,Utilities,USD,62.18,2.59,1.03
Stock,OMC US,Omnicom Group Inc,Communications,USD,71.64,3.91,1.03
Stock,WAB US,Westinghouse Air Brake Technologies Corporation,Industrials,USD,85.74,0.56,1.37
Stock,ABMD US,ABIOMED Inc.,Health Care,USD,348.11,0,0.96
Stock,CAH US,Cardinal Health Inc.,Health Care,USD,51.39,3.82,0.92
Stock,CNP US,CenterPoint Energy Inc.,Utilities,USD,26.34,2.43,1.41
Stock,NLOK US,NortonLifeLock Inc.,Technology,USD,25.75,1.94,0.76
Stock,DVN US,Devon Energy Corporation,Energy,USD,25.7,1.71,1.53
Stock,EMN US,Eastman Chemical Company,Materials,USD,109.9,2.51,1.3
Stock,BKR US,Baker Hughes Company Class A,Energy,USD,20.43,3.52,1.39
Stock,SJM US,J.M. Smucker Company,Consumer Staples,USD,131.28,3.02,0.5
Stock,JBHT US,J.B. Hunt Transport Services Inc.,Industrials,USD,174.49,0.69,0.95
Stock,LKQ US,LKQ Corporation,Consumer Discretionary,USD,50.96,0,1.54
Stock,IPG US,Interpublic Group of Companies Inc.,Communications,USD,36.45,2.96,1.36
Stock,UAL US,United Airlines Holdings Inc.,Industrials,USD,44.03,0,1.98
Stock,INCY US,Incyte Corporation,Health Care,USD,74.9,0,0.7
Stock,WHR US,Whirlpool Corporation,Consumer Discretionary,USD,221.2,2.53,1.34
Stock,PKG US,Packaging Corporation of America,Materials,USD,148.3,2.7,0.79
Stock,PHM US,PulteGroup Inc.,Consumer Discretionary,USD,52.71,1.06,1.68
Stock,CBOE US,Cboe Global Markets Inc,Financials,USD,129.76,1.48,0.83
Stock,AAP US,Advance Auto Parts Inc.,Consumer Discretionary,USD,209.68,1.91,1.37
Stock,FBHS US,Fortune Brands Home & Security Inc.,Consumer Discretionary,USD,98.46,1.06,1.5
Stock,JKHY US,Jack Henry & Associates Inc.,Technology,USD,177.13,1.04,0.89
Stock,PTC US,PTC Inc.,Technology,USD,128.29,0,1.29
Stock,PWR US,Quanta Services Inc.,Industrials,USD,96.3,0.25,1.16
Stock,IRM US,Iron Mountain Inc.,Real Estate,USD,45.67,5.42,1.05
Stock,XRAY US,DENTSPLY SIRONA Inc.,Health Care,USD,59.86,0.74,1.14
Stock,HRL US,Hormel Foods Corporation,Consumer Staples,USD,46.33,2.12,0.39
Stock,PNR US,Pentair plc,Industrials,USD,78.83,1.02,1.3
Stock,ATO US,Atmos Energy Corporation,Utilities,USD,98.77,2.53,0.93
Stock,LDOS US,Leidos Holdings Inc.,Technology,USD,96.31,1.5,1.18
Stock,WRK US,WestRock Company,Materials,USD,49.43,1.94,1.12
Stock,ALLE US,Allegion PLC,Industrials,USD,138.58,1.04,1.2
Stock,KIM US,Kimco Realty Corporation,Real Estate,USD,21.32,3.19,1.36
Stock,CTXS US,Citrix Systems Inc.,Technology,USD,103.22,1.43,0.62
Stock,L US,Loews Corporation,Financials,USD,55.02,0.45,1.18
Stock,HWM US,Howmet Aerospace Inc.,Industrials,USD,31.81,0.25,1.49
Stock,FANG US,Diamondback Energy Inc.,Energy,USD,68.18,2.64,1.59
Stock,HAS US,Hasbro Inc.,Consumer Discretionary,USD,95.84,2.84,1.31
Stock,FOXA US,Fox Corporation Class A,Communications,USD,36.76,1.31,1
Stock,LVS US,Las Vegas Sands Corp.,Consumer Discretionary,USD,37.55,0,1.12
Stock,AAL US,American Airlines Group Inc.,Industrials,USD,18.5,0,1.86
Stock,FFIV US,F5 Networks Inc.,Technology,USD,199.86,0,0.89
Stock,LNC US,Lincoln National Corporation,Financials,USD,65.81,2.55,2.17
Stock,CHRW US,C.H. Robinson Worldwide Inc.,Industrials,USD,88.69,2.3,0.67
Stock,UHS US,Universal Health Services Inc. Class B,Health Care,USD,153.39,0.52,1.35
Stock,SNA US,Snap-on Incorporated,Industrials,USD,219.53,2.24,1.16
Stock,MHK US,Mohawk Industries Inc.,Consumer Discretionary,USD,200.78,0,1.73
Stock,RHI US,Robert Half International Inc.,Industrials,USD,102.07,1.49,1.17
Stock,FMC US,FMC Corporation,Materials,USD,87.77,2.19,1.24
Stock,LYV US,Live Nation Entertainment Inc.,Consumer Discretionary,USD,80.2,0,1.58
Stock,LUMN US,Lumen Technologies Inc.,Communications,USD,11.83,8.45,0.89
Stock,TPR US,Tapestry Inc.,Consumer Discretionary,USD,40.58,2.46,1.69
Stock,RE US,Everest Re Group Ltd.,Financials,USD,271.94,2.28,1.05
Stock,HSIC US,Henry Schein Inc.,Health Care,USD,75.63,0,1.06
Stock,WRB US,W. R. Berkley Corporation,Financials,USD,76.38,0.68,1.14
Stock,HST US,Host Hotels & Resorts Inc.,Real Estate,USD,15.16,0,1.22
Stock,NRG US,NRG Energy Inc.,Utilities,USD,43.41,2.99,1.26
Stock,DISH US,DISH Network Corporation Class A,Communications,USD,42.88,0,1.22
Stock,MOS US,Mosaic Company,Materials,USD,30.72,0.98,1.25
Stock,REG US,Regency Centers Corporation,Real Estate,USD,64.87,3.67,1.38
Stock,BWA US,BorgWarner Inc.,Consumer Discretionary,USD,42.48,1.6,1.27
Stock,AIZ US,Assurant Inc.,Financials,USD,165.13,1.6,1.01
Stock,CMA US,Comerica Incorporated,Financials,USD,71.28,3.82,1.37
Stock,NI US,NiSource Inc,Utilities,USD,25.71,3.42,1.01
Stock,PENN US,Penn National Gaming Inc.,Consumer Discretionary,USD,67.65,0,2.33
Stock,LW US,Lamb Weston Holdings Inc.,Consumer Staples,USD,65.08,1.44,1.33
Stock,DVA US,DaVita Inc.,Health Care,USD,132.65,0,1.03
Stock,JNPR US,Juniper Networks Inc.,Technology,USD,29.07,2.75,0.96
Stock,AOS US,A. O. Smith Corporation,Industrials,USD,71.06,1.46,1
Stock,WYNN US,Wynn Resorts Limited,Consumer Discretionary,USD,88.3,0,1.81
Stock,CF US,CF Industries Holdings Inc.,Materials,USD,44.47,2.7,1.24
Stock,SEE US,Sealed Air Corporation,Materials,USD,59.36,1.35,1.09
Stock,NWL US,Newell Brands Inc,Consumer Discretionary,USD,24.51,3.75,1.19
Stock,TAP US,Molson Coors Beverage Company Class B,Consumer Staples,USD,47.79,2.85,0.96
Stock,PNW US,Pinnacle West Capital Corporation,Utilities,USD,80.16,4.14,1.16
Stock,GL US,Globe Life Inc.,Financials,USD,94.98,0.83,1.25
Stock,DXC US,DXC Technology Co.,Technology,USD,35.44,0,1.59
Stock,WU US,Western Union Company,Technology,USD,21.61,4.35,1.07
Stock,IVZ US,Invesco Ltd.,Financials,USD,23.99,2.83,1.43
Stock,CPB US,Campbell Soup Company,Consumer Staples,USD,43.28,3.42,0.48
Stock,ZION US,Zions Bancorporation N.A.,Financials,USD,53.87,2.82,1.21
Stock,ROL US,Rollins Inc.,Industrials,USD,39.33,0.81,0.69
Stock,NWSA US,News Corporation Class A,Communications,USD,22.1,0.9,1.02
Stock,MRO US,Marathon Oil Corporation,Energy,USD,10.72,1.87,1.31
Stock,NCLH US,Norwegian Cruise Line Holdings Ltd.,Consumer Discretionary,USD,23.63,0,2.14
Stock,BEN US,Franklin Resources Inc.,Financials,USD,31.13,3.6,1.01
Stock,HII US,Huntington Ingalls Industries Inc.,Industrials,USD,202.73,2.25,0.97
Stock,NLSN US,Nielsen Holdings Plc,Technology,USD,22.5,1.07,0.95
Stock,FRT US,Federal Realty Investment Trust,Real Estate,USD,116.06,3.69,1.33
Stock,DISCK US,Discovery Inc. Class C,Communications,USD,26.82,0,1.02
Stock,PVH US,PVH Corp.,Consumer Discretionary,USD,104.55,0,2
Stock,ALK US,Alaska Air Group Inc.,Industrials,USD,54.35,0,1.71
Stock,PBCT US,People's United Financial Inc.,Financials,USD,15.82,4.61,1.01
Stock,HBI US,Hanesbrands Inc.,Consumer Discretionary,USD,18.95,3.17,1.06
Stock,VNO US,Vornado Realty Trust,Real Estate,USD,40.89,5.18,1.49
Stock,LEG US,Leggett & Platt Incorporated,Consumer Discretionary,USD,47.8,3.52,1.39
Stock,APA US,APA Corp.,Energy,USD,16.07,0.62,2
Stock,IPGP US,IPG Photonics Corporation,Technology,USD,167.37,0,0.92
Stock,COG US,Cabot Oil & Gas Corporation,Energy,USD,14.42,3.05,0.79
Stock,GPS US,Gap Inc.,Consumer Discretionary,USD,28.27,1.7,1.85
Stock,RL US,Ralph Lauren Corporation Class A,Consumer Discretionary,USD,116.27,2.37,1.35
Stock,PRGO US,Perrigo Co. Plc,Health Care,USD,40.96,2.34,0.93
Stock,UNM US,Unum Group,Financials,USD,25.43,4.72,1.72
Stock,FOX US,Fox Corporation Class B,Communications,USD,34.01,1.41,1.06
Stock,NOV US,NOV Inc.,Energy,USD,12.19,0,1.17
Stock,DISCA US,Discovery Inc. Class A,Communications,USD,28.07,0,1
Stock,UAA US,Under Armour Inc. Class A,Consumer Discretionary,USD,23.45,0,1.41
Stock,UA US,Under Armour Inc. Class C,Consumer Discretionary,USD,19.74,0,1.39
Stock,NWS US,News Corporation Class B,Communications,USD,21.49,0.93,1.1
